SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
4127,3/8/2020,,Bangladesh,2020-03-08T10:53:02,3,0,0
4386,3/9/2020,,Bangladesh,2020-03-08T10:53:02,3,0,0
4659,3/10/2020,,Bangladesh,2020-03-10T06:19:32,3,0,0
4878,3/11/2020,,Bangladesh,2020-03-10T06:19:32,3,0,0
5099,3/12/2020,,Bangladesh,2020-03-10T06:19:32,3,0,0
5225,3/13/2020,,Bangladesh,2020-03-11T20:00:00,3,0,0
5573,3/14/2020,,Bangladesh,2020-03-13T22:22:02,3,0,0
5817,3/15/2020,,Bangladesh,2020-03-15T18:20:18,5,0,0
6071,3/16/2020,,Bangladesh,2020-03-16T14:38:45,8,0,2
6351,3/17/2020,,Bangladesh,2020-03-17T12:13:16,10,0,3
6624,3/18/2020,,Bangladesh,2020-03-18T11:33:04,14,1,3
6907,3/19/2020,,Bangladesh,2020-03-19T10:53:03,17,1,3
7201,3/20/2020,,Bangladesh,2020-03-20T15:13:21,20,1,3
7502,3/21/2020,,Bangladesh,2020-03-21T12:43:08,25,2,3
7630,3/22/2020,,Bangladesh,3/8/2020 5:31,27,2,3
7928,3/23/2020,,Bangladesh,3/23/2020 23:23,33,3,5
8222,3/24/2020,,Bangladesh,3/24/2020 23:41,39,4,5
8520,3/25/2020,,Bangladesh,3/25/2020 23:37,39,5,7
8822,3/26/2020,,Bangladesh,3/26/2020 23:53,44,5,11
9128,3/27/2020,,Bangladesh,3/27/2020 23:27,48,5,11
9435,3/28/2020,,Bangladesh,3/8/2020 5:31,48,5,15
9746,3/29/2020,,Bangladesh,3/8/2020 5:31,48,5,15
10057,3/30/2020,,Bangladesh,3/8/2020 5:31,49,5,19
10369,3/31/2020,,Bangladesh,3/31/2020 23:49,51,5,25
10682,4/1/2020,,Bangladesh,4/1/2020 22:04,54,6,25
10995,4/2/2020,,Bangladesh,4/2/2020 8:53,56,6,25
11310,4/3/2020,,Bangladesh,4/3/2020 22:52,61,6,26
11625,4/4/2020,,Bangladesh,4/4/2020 9:38,70,8,30
11941,4/5/2020,,Bangladesh,4/5/2020 23:13,88,9,33
12260,4/6/2020,,Bangladesh,4/6/2020 9:37,123,12,33
12580,4/7/2020,,Bangladesh,4/7/2020 23:11,164,17,33
12900,4/8/2020,,Bangladesh,4/8/2020 22:59,218,20,33
13220,4/9/2020,,Bangladesh,4/9/2020 23:09,330,21,33
13540,4/10/2020,,Bangladesh,4/10/2020 23:01,424,27,33
13861,4/11/2020,,Bangladesh,4/11/2020 22:52,482,30,36
14182,4/12/2020,,Bangladesh,4/12/2020 23:25,621,34,39
14502,4/13/2020,,Bangladesh,4/13/2020 23:15,803,39,42
14822,4/14/2020,,Bangladesh,4/14/2020 23:41,1012,46,42
15142,4/15/2020,,Bangladesh,4/15/2020 23:04,1231,50,49
15462,4/16/2020,,Bangladesh,4/16/2020 23:38,1572,60,49
15782,4/17/2020,,Bangladesh,4/17/2020 23:38,1838,75,58
16102,4/18/2020,,Bangladesh,4/18/2020 22:40,2144,84,66
16422,4/19/2020,,Bangladesh,4/19/2020 23:49,2456,91,75
16742,4/20/2020,,Bangladesh,4/20/2020 23:44,2948,101,85
17062,4/21/2020,,Bangladesh,4/21/2020 23:39,3382,110,87
17382,4/22/2020,,Bangladesh,4/22/2020 23:38,3772,120,92
17701,4/23/2020,,Bangladesh,4/24/2020 3:31,4186,127,108
18021,4/24/2020,,Bangladesh,4/25/2020 6:31,4689,131,112
18340,4/25/2020,,Bangladesh,4/26/2020 2:31,4998,140,113
18659,4/26/2020,,Bangladesh,4/27/2020 2:31,5416,145,122
18978,4/27/2020,,Bangladesh,4/28/2020 2:31,5913,152,131
19299,4/28/2020,,Bangladesh,4/29/2020 2:32,6462,155,139
19620,4/29/2020,,Bangladesh,4/30/2020 2:32,7103,163,150
19941,4/30/2020,,Bangladesh,5/1/2020 2:32,7667,168,160
20264,5/1/2020,,Bangladesh,5/2/2020 2:32,8238,170,174
